n_b, rho, p
1.8900E+00, 7.4456E+15, 8.3308E+36
1.8800E+00, 7.3575E+15, 8.1979E+36
1.8700E+00, 7.2703E+15, 8.0663E+36
1.8600E+00, 7.1839E+15, 7.9360E+36
1.8500E+00, 7.0982E+15, 7.8070E+36
1.8400E+00, 7.0133E+15, 7.6792E+36
1.8300E+00, 6.9291E+15, 7.5527E+36
1.8200E+00, 6.8458E+15, 7.4275E+36
1.8100E+00, 6.7632E+15, 7.3036E+36
1.8000E+00, 6.6813E+15, 7.1809E+36
1.7900E+00, 6.6002E+15, 7.0595E+36
1.7800E+00, 6.5199E+15, 6.9394E+36
1.7700E+00, 6.4403E+15, 6.8206E+36
1.7600E+00, 6.3614E+15, 6.7031E+36
1.7500E+00, 6.2833E+15, 6.5868E+36
1.7400E+00, 6.2059E+15, 6.4718E+36
1.7300E+00, 6.1293E+15, 6.3580E+36
1.7200E+00, 6.0534E+15, 6.2455E+36
1.7100E+00, 5.9782E+15, 6.1343E+36
1.7000E+00, 5.9037E+15, 6.0243E+36
1.6900E+00, 5.8299E+15, 5.9156E+36
1.6800E+00, 5.7569E+15, 5.8081E+36
1.6700E+00, 5.6845E+15, 5.7019E+36
1.6600E+00, 5.6129E+15, 5.5969E+36
1.6500E+00, 5.5420E+15, 5.4932E+36
1.6400E+00, 5.4717E+15, 5.3907E+36
1.6300E+00, 5.4022E+15, 5.2894E+36
1.6200E+00, 5.3333E+15, 5.1893E+36
1.6100E+00, 5.2651E+15, 5.0905E+36
1.6000E+00, 5.1976E+15, 4.9928E+36
1.5900E+00, 5.1308E+15, 4.8964E+36
1.5800E+00, 5.0646E+15, 4.8012E+36
1.5700E+00, 4.9991E+15, 4.7072E+36
1.5600E+00, 4.9343E+15, 4.6143E+36
1.5500E+00, 4.8701E+15, 4.5227E+36
1.5400E+00, 4.8066E+15, 4.4322E+36
1.5300E+00, 4.7437E+15, 4.3429E+36
1.5200E+00, 4.6815E+15, 4.2548E+36
1.5100E+00, 4.6199E+15, 4.1678E+36
1.5000E+00, 4.5590E+15, 4.0820E+36
1.4900E+00, 4.4987E+15, 3.9974E+36
1.4800E+00, 4.4390E+15, 3.9139E+36
1.4700E+00, 4.3799E+15, 3.8315E+36
1.4600E+00, 4.3215E+15, 3.7502E+36
1.4500E+00, 4.2636E+15, 3.6701E+36
1.4400E+00, 4.2064E+15, 3.5911E+36
1.4300E+00, 4.1498E+15, 3.5132E+36
1.4200E+00, 4.0938E+15, 3.4365E+36
1.4100E+00, 4.0383E+15, 3.3608E+36
1.4000E+00, 3.9835E+15, 3.2862E+36
1.3900E+00, 3.9293E+15, 3.2127E+36
1.3800E+00, 3.8756E+15, 3.1403E+36
1.3700E+00, 3.8226E+15, 3.0689E+36
1.3600E+00, 3.7701E+15, 2.9986E+36
1.3500E+00, 3.7181E+15, 2.9294E+36
1.3400E+00, 3.6668E+15, 2.8612E+36
